trans_table	taxon	level
2	Phoenicopteridae	family
5	Trichinellidae	family
5	Hydraenidae	family
2	Holocentridae	family
5	Cossidae	family
5	Chaetiliidae	family
2	Timaliidae	family
2	Clariidae	family
5	Oregoniidae	family
5	Xanthidae	family
5	Enchytraeidae	family
5	Octopodidae	family
5	Hydryphantidae	family
5	Hiatellidae	family
2	Plethodontidae	family
5	Pallenopsidae	family
5	Nematocarcinidae	family
5	Prodoxidae	family
2	Charadriidae	family
5	Squillidae	family
2	Phasianidae	family
5	Amphipterygidae	family
5	Limnocharidae	family
5	Anthicidae	family
5	Notocrinidae	family
5	Cerambycidae	family
2	Gymnotidae	family
5	Plakobranchidae	family
5	Phasmatidae	family
5	Glossosomatidae	family
5	Ectopsocidae	family
2	Nomeidae	family
5	Eumunididae	family
5	Porcellanidae	family
5	Dysderidae	family
5	Camaenidae	family
2	Erinaceidae	family
2	Ceratobatrachidae	family
5	Ptiliidae	family
5	Lithobiidae	family
2	Camelidae	family
5	Onchidorididae	family
2	Gonostomatidae	family
5	Pandalidae	family
2	Furnariidae	family
2	Parazenidae	family
5	Pyrochroidae	family
5	Punctoribatidae	family
2	Trichomycteridae	family
5	Photinaidae	family
5	Bradybaenidae	family
2	Atherinopsidae	family
5	Macromiidae	family
5	Acanthosomatidae	family
5	Fanniidae	family
2	Thamnophilidae	family
2	Talpidae	family
5	Chromodorididae	family
2	Dalatiidae	family
2	Pseudochromidae	family
5	Costellariidae	family
5	Amphilochidae	family
5	Idoteidae	family
5	Nitidulidae	family
2	Trichiuridae	family
2	Sturnidae	family
5	Potamidae	family
5	Gerridae	family
5	Notonemouridae	family
5	Nemesiidae	family
2	Moronidae	family
2	Triglidae	family
2	Artedidraconidae	family
2	Bathyergidae	family
5	Samoidae	family
2	Acropomatidae	family
5	Anthocoridae	family
5	Trachelipodidae	family
2	Noctilionidae	family
2	Pteropodidae	family
5	Trinchesiidae	family
5	Bolitophilidae	family
5	Keroplatidae	family
2	Mormyridae	family
5	Cryptophagidae	family
5	Pisauridae	family
5	Argiolestidae	family
2	Terapontidae	family
2	Serrasalmidae	family
5	Sepiidae	family
5	Artemiidae	family
5	Protodrilidae	family
2	Pardalotidae	family
2	Osmeridae	family
4	Antipathidae	family
5	Acanaloniidae	family
2	Badidae	family
5	Heterakidae	family
5	Siphlonuridae	family
2	Priacanthidae	family
5	Adelidae	family
5	Anchimolgidae	family
5	Helophoridae	family
5	Veronicellidae	family
2	Anguillidae	family
2	Gliridae	family
2	Lateolabracidae	family
5	Amphipsocidae	family
4	Cladorhizidae	family
5	Oecobiidae	family
5	Diastatidae	family
5	Hepialidae	family
5	Paracalanidae	family
4	Acroporidae	family
2	Rajidae	family
5	Xanthonychidae	family
2	Ritidae	family
5	Bombyliidae	family
2	Pelodryadidae	family
5	Ampharetidae	family
2	Dasyuridae	family
5	Torrenticolidae	family
2	Sciuridae	family
5	Tiphiidae	family
2	Centrophoridae	family
5	Cimbicidae	family
5	Ephemeridae	family
2	Hydrobatidae	family
5	Ptychoderidae	family
5	Eucnemidae	family
5	Astacidae	family
2	Fregatidae	family
5	Zoropsidae	family
5	Penaeidae	family
2	Erythrinidae	family
2	Muraenolepididae	family
5	Hydrochidae	family
2	Cottidae	family
5	Paguridae	family
5	Cancellariidae	family
5	Sericostomatidae	family
5	Cyclophoridae	family
5	Euphausiidae	family
5	Zopheridae	family
5	Boridae	family
5	Asellidae	family
5	Corophiidae	family
5	Philodinidae	family
5	Cydnidae	family
5	Tomoceridae	family
5	Tetranychidae	family
5	Amnicolidae	family
2	Parulidae	family
5	Oxyopidae	family
5	Mochlozetidae	family
5	Hybosoridae	family
4	Ulmaridae	family
5	Cicadidae	family
2	Umbridae	family
5	Oxychilidae	family
2	Ziphiidae	family
5	Cerastidae	family
5	Bedelliidae	family
5	Pilumnidae	family
2	Cervidae	family
5	Kalotermitidae	family
2	Platycephalidae	family
2	Hemiramphidae	family
5	Pleuroceridae	family
5	Coreidae	family
5	Derbidae	family
5	Gonatidae	family
5	Aulacigastridae	family
5	Tortanidae	family
5	Oithonidae	family
5	Munidopsidae	family
5	Theridiosomatidae	family
5	Achipteriidae	family
5	Perlodidae	family
2	Locustellidae	family
5	Lyonetiidae	family
2	Corvidae	family
5	Psocidae	family
2	Laniidae	family
2	Muraenesocidae	family
5	Mopaliidae	family
2	Dipodidae	family
5	Chloroperlidae	family
5	Clausiliidae	family
5	Derodontidae	family
5	Siricidae	family
5	Panorpidae	family
2	Agonidae	family
2	Phrynosomatidae	family
5	Chondrinidae	family
5	Nereididae	family
5	Oplophoridae	family
2	Bathylagidae	family
5	Glossiphoniidae	family
5	Ditomyiidae	family
5	Gripopterygidae	family
5	Trapeziidae	family
2	Equidae	family
5	Polybranchiidae	family
5	Melittidae	family
5	Lauxaniidae	family
2	Acrocephalidae	family
5	Tetrigidae	family
5	Xylophagidae	family
5	Gryllidae	family
2	Emydidae	family
5	Ctenostylidae	family
5	Turridae	family
5	Apatelodidae	family
2	Doradidae	family
5	Veliidae	family
5	Bibionidae	family
5	Megapodagrionidae	family
2	Ogcocephalidae	family
5	Epipyropidae	family
5	Pomatiasidae	family
2	Phylloscopidae	family
5	Hapalogastridae	family
2	Uranoscopidae	family
5	Pyrgomatidae	family
5	Bothriuridae	family
5	Sialidae	family
5	Theraphosidae	family
2	Myliobatidae	family
5	Cryptocercidae	family
5	Pardaliscidae	family
2	Zoarcidae	family
5	Polyphemidae	family
5	Polymitarcyidae	family
2	Elephantidae	family
5	Heleomyzidae	family
5	Trichobranchidae	family
2	Paralichthyidae	family
5	Proctophyllodidae	family
5	Hahniidae	family
5	Nassariidae	family
5	Berothidae	family
5	Platypezidae	family
2	Pandionidae	family
5	Alvinocarididae	family
5	Nabidae	family
2	Rostratulidae	family
2	Tapiridae	family
2	Mustelidae	family
5	Gyrinidae	family
2	Regulidae	family
2	Eublepharidae	family
5	Ptinidae	family
5	Hebridae	family
2	Estrildidae	family
5	Discodorididae	family
2	Liparidae	family
5	Delphacidae	family
5	Colossendeidae	family
2	Chlopsidae	family
5	Munnopsidae	family
2	Strigidae	family
5	Eriocraniidae	family
5	Asplanchnidae	family
5	Trichoceridae	family
2	Anostomidae	family
2	Leporidae	family
4	Poritidae	family
5	Micropezidae	family
5	Sparganophilidae	family
5	Tetraclitidae	family
5	Maeridae	family
2	Ateleopodidae	family
5	Oppiidae	family
5	Haliplidae	family
5	Capniidae	family
5	Eupodidae	family
2	Rhipiduridae	family
5	Ephydridae	family
5	Paramesochridae	family
5	Mummuciidae	family
5	Sparassidae	family
5	Scutoverticidae	family
5	Eulimidae	family
2	Scaridae	family
5	Calyptraeidae	family
5	Pilargidae	family
5	Dipseudopsidae	family
2	Sternopygidae	family
5	Mordellidae	family
5	Planaxidae	family
5	Boettgerillidae	family
5	Niphargidae	family
5	Stathmopodidae	family
2	Chiasmodontidae	family
5	Disteniidae	family
5	Scyphacidae	family
5	Opheliidae	family
2	Echimyidae	family
2	Champsodontidae	family
5	Cyprididae	family
2	Squatinidae	family
2	Procyonidae	family
5	Chernetidae	family
5	Sphecidae	family
5	Stiphidiidae	family
5	Rhinocricidae	family
2	Auchenipteridae	family
2	Delphinidae	family
5	Pseudococcidae	family
5	Cryptopidae	family
4	Tiarannidae	family
5	Malaconothridae	family
2	Crocodylidae	family
5	Bithyniidae	family
5	Craspedosomatidae	family
5	Platystictidae	family
5	Lepidopsocidae	family
2	Squalidae	family
5	Gonyleptidae	family
2	Ctenomyidae	family
2	Liolaemidae	family
5	Flabelligeridae	family
2	Ursidae	family
5	Schizopetalidae	family
5	Spiraxidae	family
2	Polypteridae	family
5	Scolopendridae	family
5	Mysidae	family
2	Gasterosteidae	family
5	Turbinidae	family
5	Heterorhabdidae	family
5	Lestidae	family
2	Pinguipedidae	family
5	Scytodidae	family
2	Bovichtidae	family
5	Podonidae	family
5	Leptochitonidae	family
5	Partulidae	family
5	Fasciolariidae	family
2	Sillaginidae	family
2	Dicroglossidae	family
4	Pelagiidae	family
2	Parodontidae	family
5	Adinetidae	family
5	Argidae	family
5	Chlorogomphidae	family
5	Neogoveidae	family
5	Carposinidae	family
5	Eurycercidae	family
5	Arcturidae	family
5	Mitridae	family
5	Subulinidae	family
5	Epialtidae	family
5	Bostrichidae	family
5	Scalpellidae	family
5	Onchidiidae	family
5	Ciidae	family
2	Polynemidae	family
2	Pangasiidae	family
5	Corixidae	family
5	Tellinidae	family
5	Lucanidae	family
5	Alvinellidae	family
4	Parazoanthidae	family
5	Beraeidae	family
2	Procellariidae	family
5	Eriophyidae	family
2	Hypopomidae	family
2	Geomyidae	family
5	Triopsidae	family
5	Columbellidae	family
5	Chaetonotidae	family
2	Dugongidae	family
5	Leptanthuridae	family
5	Sapphirinidae	family
2	Alcidae	family
5	Cyamidae	family
5	Sicyoniidae	family
5	Anisopodidae	family
5	Laemophloeidae	family
5	Melanoblossiidae	family
2	Stromateidae	family
2	Nemipteridae	family
5	Katiannidae	family
5	Trhypochthoniidae	family
5	Mantispidae	family
5	Brachodidae	family
5	Trichodectidae	family
2	Psittaculidae	family
2	Notosudidae	family
2	Agamidae	family
5	Pamphiliidae	family
5	Iteaphila-group	family
4	Cyaneidae	family
5	Ameletidae	family
5	Canthyloscelidae	family
2	Hyperoliidae	family
5	Clusiidae	family
5	Lepadidae	family
5	Cheiracanthiidae	family
5	Membracidae	family
2	Mormoopidae	family
2	Myxinidae	family
5	Lecithoceridae	family
5	Mycetophagidae	family
2	Sphyraenidae	family
5	Carabodidae	family
5	Scatopsidae	family
2	Pseudopimelodidae	family
5	Vitrinidae	family
5	Ecnomidae	family
5	Ptychatractidae	family
5	Eudrilidae	family
5	Psephenidae	family
5	Turbanellidae	family
2	Bramidae	family
2	Nectariniidae	family
5	Phryganeidae	family
2	Passeridae	family
2	Tinamidae	family
5	Devadattidae	family
5	Thremmatidae	family
5	Oedemeridae	family
5	Vesicomyidae	family
2	Carapidae	family
5	Lacturidae	family
2	Bathydraconidae	family
5	Hyperiidae	family
5	Trogossitidae	family
5	Epipsocidae	family
5	Kynotidae	family
2	Cotingidae	family
5	Facelinidae	family
5	Myrmosidae	family
2	Rhacophoridae	family
5	Barbarochthonidae	family
5	Melitidae	family
5	Galatheidae	family
2	Albulidae	family
5	Cordulegastridae	family
5	Goniadidae	family
5	Vesiculariidae	family
4	Actiniidae	family
5	Pholadidae	family
5	Trouessartiidae	family
2	Zosteropidae	family
5	Janiridae	family
2	Syngnathidae	family
2	Bagridae	family
2	Zanclidae	family
5	Adelgidae	family
5	Platystomatidae	family
2	Pycnonotidae	family
5	Noteridae	family
4	Bougainvilliidae	family
5	Dotidae	family
2	Crotaphytidae	family
5	Xystodesmidae	family
5	Megalodontesidae	family
11	Polycitoridae	family
5	Ocypodidae	family
4	Polymastiidae	family
2	Lethrinidae	family
5	Priapulidae	family
5	Polyctenidae	family
2	Emberizidae	family
5	Ptilodactylidae	family
5	Sclerosomatidae	family
2	Ochotonidae	family
5	Atracidae	family
2	Centrolophidae	family
5	Evaniidae	family
2	Pleuronectidae	family
5	Lumbriculidae	family
5	Limidae	family
5	Nerillidae	family
5	Ostreidae	family
2	Otariidae	family
5	Cymbaeremaeidae	family
5	Neopilionidae	family
4	Nephtheidae	family
5	Blaberidae	family
5	Cryptochiridae	family
5	Echiniscidae	family
2	Gobiesocidae	family
5	Polymorphidae	family
5	Phthiracaridae	family
5	Damaeidae	family
5	Velutinidae	family
2	Samaridae	family
5	Ascarididae	family
5	Urodidae	family
2	Butidae	family
5	Pollicipedidae	family
2	Petromyzontidae	family
5	Sternaspidae	family
5	Hygrobatidae	family
5	Thymalidae	family
2	Acanthisittidae	family
2	Gastromyzontidae	family
5	Saldidae	family
2	Teiidae	family
2	Synodontidae	family
5	Acavidae	family
2	Cycloramphidae	family
2	Himantolophidae	family
5	Cixiidae	family
5	Ancylostomatidae	family
2	Moringuidae	family
5	Piscicolidae	family
2	Centropomidae	family
5	Aphrophoridae	family
2	Cetomimidae	family
2	Crenuchidae	family
2	Psittacidae	family
5	Archotermopsidae	family
5	Parholaspididae	family
5	Lumbrineridae	family
5	Crangonidae	family
4	Metridiidae	family
4	Paragorgiidae	family
5	Pteromalidae	family
5	Corylophidae	family
5	Bentheuphausiidae	family
5	Polychelidae	family
5	Pediciidae	family
5	Alucitidae	family
5	Castniidae	family
5	Bucculatricidae	family
2	Goodeidae	family
5	Pholoidae	family
5	Oeconesidae	family
2	Leiothrichidae	family
5	Bethylidae	family
5	Pharidae	family
5	Echiniscoididae	family
5	Potamididae	family
5	Pimoidae	family
5	Ligiidae	family
2	Osteoglossidae	family
2	Rallidae	family
2	Eschrichtiidae	family
5	Mantidae	family
5	Phrynidae	family
5	Peripsocidae	family
5	Viviparidae	family
5	Glaucidae	family
5	Cletodidae	family
2	Anguidae	family
5	Thaumaleidae	family
5	Tischeriidae	family
5	Mideopsidae	family
5	Tegoribatidae	family
2	Bregmacerotidae	family
5	Hydrachnidae	family
5	Tryphosidae	family
5	Scheloribatidae	family
5	Hyriidae	family
5	Diogenidae	family
2	Hemiphractidae	family
5	Phytoseiidae	family
5	Lingulidae	family
5	Pectinidae	family
2	Ardeidae	family
5	Cardiidae	family
